0.01	0.44392266	0.472164849
0.02	0.448397266	0.472897828
0.03	0.467069198	0.47774752
0.05	0.539181797	0.489975612
0.075	0.68093498	0.519181789
0.1	0.773915434	0.526850019
0.15	0.832118463	0.503678188
0.2	0.88212679	0.496881417
0.25	0.93620685	0.497596627
0.3	1.005597507	0.52639803
0.4	1.112254774	0.564165053
0.5	1.11743458	0.598860459
0.75	0.950496034	0.671187903
1	0.793176328	0.694048908
1.5	0.607707759	0.711849974
2	0.478717646	0.708364956
3	0.320764141	0.712722246
4	0.21600366	0.683322764
5	0.159612183	0.693427718
7.5	0.067589495	0.699971428
10	0.034164148	0.697633858
