0.01	0.429816818	0.602545434
0.02	0.483281453	0.631418245
0.03	0.604004889	0.678492447
0.05	0.966868925	0.748384928
0.075	1.103347027	0.718618814
0.1	1.112893508	0.690651866
0.15	0.912511553	0.63635289
0.2	0.734298617	0.595788553
0.25	0.646344283	0.583089187
0.3	0.568890612	0.578291449
0.4	0.476297453	0.591473584
0.5	0.40221678	0.597772532
0.75	0.311278241	0.625283936
1	0.265702353	0.631839378
1.5	0.198418181	0.648630866
2	0.162203465	0.66713267
3	0.10925053	0.64998
4	0.080902511	0.655680562
5	0.051716876	0.639577986
7.5	0.01974396	0.649130187
10	0.008745395	0.653241915
